time_s,node_a_current_mA,node_a_power_mW,node_b_current_mA,node_b_power_mW
0,104.2,523.1,142.5,714.0
30,116.8,586.3,158.4,793.6
60,128.5,645.1,176.2,882.8
90,119.6,600.4,169.7,850.2
120,136.4,684.7,190.5,954.4
150,112.9,566.7,160.8,805.6
180,123.7,621.0,181.3,908.3
210,147.8,741.9,213.6,1070.1
240,118.1,592.9,171.4,858.7
270,109.7,550.7,151.9,761.0
300,125.4,629.5,178.6,894.8
330,132.1,663.1,187.2,937.9
360,115.6,580.3,164.8,825.6
390,121.9,611.9,174.1,872.2
420,140.2,703.8,201.5,1009.5
450,117.4,589.3,168.3,843.2
480,126.8,636.5,183.7,920.3
510,108.9,546.6,149.6,749.5
540,134.6,675.7,194.8,975.9
570,120.3,604.0,175.5,879.3
600,122.7,616.3,177.2,887.8
